common_name,scientific_name,color,planttype,maintenance,meaning
Yarrow,achillea,cream,Perennials,low,Everlasting love
Yarrow,achillea,orange,Perennials,low,Everlasting love
Yarrow,achillea,pink,Perennials,low,Everlasting love
Yarrow,achillea,purple,Perennials,low,Everlasting love
Yarrow,achillea,red,Perennials,low,Everlasting love
Yarrow,achillea,white,Perennials,low,Everlasting love
Yarrow,achillea,yellow,Perennials,low,Everlasting love
wolf's bane,aconitum,blue,Perennials,medium,
wolf's bane,aconitum,pink,Perennials,medium,
wolf's bane,aconitum,purple,Perennials,medium,
wolf's bane,aconitum,white,Perennials,medium,
wolf's bane,aconitum,yellow,Perennials,medium,
,agapanthus,blue,"Bulbs, Perennials",low,
,agapanthus,purple,"Bulbs, Perennials",low,
,agapanthus,white,"Bulbs, Perennials",low,
,ageratum,blue,Annuals,low,
,ageratum,pink,Annuals,low,
,ageratum,purple,Annuals,low,
,ageratum,red,Annuals,low,
,ageratum,white,Annuals,low,
bugle,ajuga,blue,"Annuals, Perennials",low,
bugle,ajuga,purple,"Annuals, Perennials",low,
bugle,ajuga,white,"Annuals, Perennials",low,
hollyhock,alcea,black,"Annuals, Perennials",hard,
hollyhock,alcea,pink,"Annuals, Perennials",hard,
hollyhock,alcea,purple,"Annuals, Perennials",hard,
hollyhock,alcea,red,"Annuals, Perennials",hard,
hollyhock,alcea,white,"Annuals, Perennials",hard,
hollyhock,alcea,yellow,"Annuals, Perennials",hard,
wild onion,allium,blue,"Bulbs, Perennials",low,
wild onion,allium,pink,"Bulbs, Perennials",low,
wild onion,allium,purple,"Bulbs, Perennials",low,
wild onion,allium,white,"Bulbs, Perennials",low,
wild onion,allium,yellow,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,orange,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,pink,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,purple,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,red,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,rose,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,white,"Bulbs, Perennials",low,
Lily of the Incas,alstroemeria,yellow,"Bulbs, Perennials",low,
Belladonna,amaryllis,pink,"Bulbs, Perennials",low,
Belladonna,amaryllis,white,"Bulbs, Perennials",low,
eastern bluestar,amsonia,blue,Perennials,low,
eastern bluestar,amsonia,pink,Perennials,low,
eastern bluestar,amsonia,purple,Perennials,low,
eastern bluestar,amsonia,white,Perennials,low,
Tailflower,anthurium,green,Perennials,low,
Tailflower,anthurium,pink,Perennials,low,
Tailflower,anthurium,purple,Perennials,low,
Tailflower,anthurium,red,Perennials,low,
Tailflower,anthurium,white,Perennials,low,
Tailflower,anthurium,yellow,Perennials,low,
Snapdragon,antirrhinum,green,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,orange,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,pink,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,purple,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,red,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,white,"Annuals, Perennials",low,Deception; Graciousness
Snapdragon,antirrhinum,yellow,"Annuals, Perennials",low,Deception; Graciousness
European columbine,aquilegia,blue,Perennials,low,Foolishness; Folly
European columbine,aquilegia,pink,Perennials,low,Foolishness; Folly
European columbine,aquilegia,purple,Perennials,low,Foolishness; Folly
European columbine,aquilegia,red,Perennials,low,Foolishness; Folly
European columbine,aquilegia,white,Perennials,low,Foolishness; Folly
European columbine,aquilegia,yellow,Perennials,low,Foolishness; Folly
butterflyweed,asclepias,orange,Perennials,low,
butterflyweed,asclepias,pink,Perennials,low,
butterflyweed,asclepias,purple,Perennials,low,
butterflyweed,asclepias,red,Perennials,low,
butterflyweed,asclepias,white,Perennials,low,
butterflyweed,asclepias,yellow,Perennials,low,
sea aster,aster,blue,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,purple,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,red,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,white,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,yellow,Perennials,medium,Symbol of love; Daintiness
,astilbe,pink,Perennials,low,
,astilbe,red,Perennials,low,
,astilbe,white,Perennials,low,
masterwort,astrantia,pink,Perennials,medium,
masterwort,astrantia,purple,Perennials,medium,
masterwort,astrantia,red,Perennials,medium,
masterwort,astrantia,white,Perennials,medium,
,banksia,brown,"Perennials, Shrubs, Trees",low,
,banksia,green,"Perennials, Shrubs, Trees",low,
,banksia,orange,"Perennials, Shrubs, Trees",low,
,banksia,red,"Perennials, Shrubs, Trees",low,
,banksia,violet,"Perennials, Shrubs, Trees",low,
,banksia,yellow,"Perennials, Shrubs, Trees",low,
,baptisia,blue,Perennials,low,
,baptisia,white,Perennials,low,
,baptisia,yellow,Perennials,low,
,begonia,orange,"Annuals, Bulbs, Perennials",low,
,begonia,pink,"Annuals, Bulbs, Perennials",low,
,begonia,red,"Annuals, Bulbs, Perennials",low,
,begonia,white,"Annuals, Bulbs, Perennials",low,
,begonia,yellow,"Annuals, Bulbs, Perennials",low,
,bellis,pink,Perennials,low,
,bellis,purple,Perennials,low,
,bellis,red,Perennials,low,
,bellis,white,Perennials,low,
,bellis,yellow,Perennials,low,
,bergenia,pink,Perennials,low,
,bergenia,purple,Perennials,low,
,bergenia,red,Perennials,low,
,bergenia,white,Perennials,low,
,borago,blue,"Annuals, Perennials",low,
,borago,pink,"Annuals, Perennials",low,
,bougainvillea,orange,"Climbers, Shrubs, Trees",low,
,bougainvillea,pink,"Climbers, Shrubs, Trees",low,
,bougainvillea,purple,"Climbers, Shrubs, Trees",low,
,bougainvillea,red,"Climbers, Shrubs, Trees",low,
,bougainvillea,white,"Climbers, Shrubs, Trees",low,
,bougainvillea,yellow,"Climbers, Shrubs, Trees",low,
,bouvardia,orange,"Herbs, Shrubs",low,
,bouvardia,pink,"Herbs, Shrubs",low,
,bouvardia,red,"Herbs, Shrubs",low,
,bouvardia,white,"Herbs, Shrubs",low,
,bouvardia,yellow,"Herbs, Shrubs",low,
,brugmansia,orange,"Shrubs, Trees",low,
,brugmansia,pink,"Shrubs, Trees",low,
,brugmansia,red,"Shrubs, Trees",low,
,brugmansia,white,"Shrubs, Trees",low,
,brugmansia,yellow,"Shrubs, Trees",low,
,buddleia,blue,"Shrubs, Trees",low,
,buddleia,pink,"Shrubs, Trees",low,
,buddleia,purple,"Shrubs, Trees",low,
,buddleia,red,"Shrubs, Trees",low,
,buddleia,white,"Shrubs, Trees",low,
Marigold,calendula,orange,"Annuals, Herbs, Perennials",low,
Marigold,calendula,yellow,"Annuals, Herbs, Perennials",low,
Scotch Heather,calluna,pink,Shrubs,low,
Scotch Heather,calluna,purple,Shrubs,low,
Scotch Heather,calluna,red,Shrubs,low,
Scotch Heather,calluna,white,Shrubs,low,
,camellia,pink,"Shrubs, Trees",low,
,camellia,purple,"Shrubs, Trees",low,
,camellia,red,"Shrubs, Trees",low,
,camellia,white,"Shrubs, Trees",low,
,camellia,yellow,"Shrubs, Trees",low,
Bellflower,campanula,blue,"Annuals, Perennials",low,Humility
Bellflower,campanula,lilac,"Annuals, Perennials",low,Humility
Bellflower,campanula,pink,"Annuals, Perennials",low,Humility
Bellflower,campanula,purple,"Annuals, Perennials",low,Humility
Bellflower,campanula,white,"Annuals, Perennials",low,Humility
,canna,cream,"Bulbs, Perennials",medium,
,canna,orange,"Bulbs, Perennials",medium,
,canna,pink,"Bulbs, Perennials",medium,
,canna,red,"Bulbs, Perennials",medium,
,canna,white,"Bulbs, Perennials",medium,
,canna,yellow,"Bulbs, Perennials",medium,
,celosia,gold,"Annuals, Perennials",low,
,celosia,orange,"Annuals, Perennials",low,
,celosia,pink,"Annuals, Perennials",low,
,celosia,purple,"Annuals, Perennials",low,
,celosia,red,"Annuals, Perennials",low,
,celosia,white,"Annuals, Perennials",low,
,celosia,yellow,"Annuals, Perennials",low,
star-thistle,centaurea,blue,"Annuals, Perennials",low,
star-thistle,centaurea,pink,"Annuals, Perennials",low,
star-thistle,centaurea,purple,"Annuals, Perennials",low,
star-thistle,centaurea,white,"Annuals, Perennials",low,
star-thistle,centaurea,yellow,"Annuals, Perennials",low,
florist's chrysanthemum,chrysanthemum,purple,Perennials,medium,
florist's chrysanthemum,chrysanthemum,red,Perennials,medium,I love you
florist's chrysanthemum,chrysanthemum,white,Perennials,medium,Truth
florist's chrysanthemum,chrysanthemum,yellow,Perennials,medium,Slighted love
,cistus,pink,"Perennials, Shrubs",low,
,cistus,purple,"Perennials, Shrubs",low,
,cistus,white,"Perennials, Shrubs",low,
fairyfan,clarkia,orange,Annuals,low,
fairyfan,clarkia,pink,Annuals,low,
fairyfan,clarkia,purple,Annuals,low,
fairyfan,clarkia,red,Annuals,low,
fairyfan,clarkia,white,Annuals,low,
,claytonia,pink,"Annuals, Bulbs, Perennials",low,
,claytonia,purple,"Annuals, Bulbs, Perennials",low,
,claytonia,red,"Annuals, Bulbs, Perennials",low,
,claytonia,white,"Annuals, Bulbs, Perennials",low,
,clerodendrum,cream,"Climbers, Shrubs, Trees",medium,
,clerodendrum,orange,"Climbers, Shrubs, Trees",medium,
,clerodendrum,pink,"Climbers, Shrubs, Trees",medium,
,clerodendrum,purple,"Climbers, Shrubs, Trees",medium,
,clerodendrum,red,"Climbers, Shrubs, Trees",medium,
,clerodendrum,white,"Climbers, Shrubs, Trees",medium,
,clerodendrum,yellow,"Climbers, Shrubs, Trees",medium,
convallaria,convallaria,pink,"Bulbs, Perennials",low,Sweetness; Tears of the Virgin Mary; Humility
convallaria,convallaria,white,"Bulbs, Perennials",low,Sweetness; Tears of the Virgin Mary; Humility
coreopsis,coreopsis,lavender,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,maroon,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,orange,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,pink,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,red,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,yellow,"Annuals, Perennials",low,Always cheerful
cosmos,cosmos,orange,Annuals,low,
cosmos,cosmos,pink,Annuals,low,
cosmos,cosmos,scarlet,Annuals,low,
cosmos,cosmos,white,Annuals,low,
cosmos,cosmos,yellow,Annuals,low,
montbretia,crocosmia,orange,"Bulbs, Perennials",low,
montbretia,crocosmia,red,"Bulbs, Perennials",low,
montbretia,crocosmia,yellow,"Bulbs, Perennials",low,
,crocus,blue,Bulbs,low,
,crocus,cream,Bulbs,low,
,crocus,purple,Bulbs,low,
,crocus,white,Bulbs,low,
,crocus,yellow,Bulbs,low,
,cyclamen,pink,"Bulbs, Perennials",low,
,cyclamen,purple,"Bulbs, Perennials",low,
,cyclamen,red,"Bulbs, Perennials",low,
,cyclamen,rose,"Bulbs, Perennials",low,
,cyclamen,white,"Bulbs, Perennials",low,
Boat Orchid,cymbidium,brown,Perennials,low,
Boat Orchid,cymbidium,green,Perennials,low,
Boat Orchid,cymbidium,orange,Perennials,low,
Boat Orchid,cymbidium,pink,Perennials,low,
Boat Orchid,cymbidium,red,Perennials,low,
Boat Orchid,cymbidium,white,Perennials,low,
Boat Orchid,cymbidium,yellow,Perennials,low,
,dahlia,blue,"Bulbs, Perennials",medium,
,datura,pink,"Annuals, Perennials",low,
,datura,purple,"Annuals, Perennials",low,
,datura,white,"Annuals, Perennials",low,
,datura,yellow,"Annuals, Perennials",low,
delosperma,delosperma,orange,"Cactus - Succulents, Perennials",low,
delosperma,delosperma,pink,"Cactus - Succulents, Perennials",low,
delosperma,delosperma,purple,"Cactus - Succulents, Perennials",low,
delosperma,delosperma,red,"Cactus - Succulents, Perennials",low,
delosperma,delosperma,white,"Cactus - Succulents, Perennials",low,
delosperma,delosperma,yellow,"Cactus - Succulents, Perennials",low,
Larkspur,delphinium,blue,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,pink,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,red,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,violet,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,white,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,yellow,Perennials,medium,Open heart; Levity; Lightness; Fickleness
,deutzia,pink,Shrubs,low,
,deutzia,red,Shrubs,low,
,deutzia,white,Shrubs,low,
Pinks,dianthus,pink,"Annuals, Perennials, Shrubs",low,Fascination; Female love; Mother’s love
Pinks,dianthus,purple,"Annuals, Perennials, Shrubs",low,Fascination; Female love; Mother’s love
Pinks,dianthus,red,"Annuals, Perennials, Shrubs",low,Fascination; Female love; Mother’s love
Pinks,dianthus,white,"Annuals, Perennials, Shrubs",low,Fascination; Female love; Mother’s love
,diascia,orange,"Annuals, Perennials",low,
,diascia,pink,"Annuals, Perennials",low,
,diascia,purple,"Annuals, Perennials",low,
,diascia,white,"Annuals, Perennials",low,
,diascia,yellow,"Annuals, Perennials",low,
Common bleeding hearts,dicentra,pink,Perennials,low,
Common bleeding hearts,dicentra,red,Perennials,low,
Common bleeding hearts,dicentra,white,Perennials,low,
,dietes,brown,Perennials,low,
,dietes,purple,Perennials,low,
,dietes,white,Perennials,low,
,dietes,yellow,Perennials,low,
foxglove,digitalis,pink,Perennials,low,
foxglove,digitalis,purple,Perennials,low,
foxglove,digitalis,red,Perennials,low,
foxglove,digitalis,white,Perennials,low,
foxglove,digitalis,yellow,Perennials,low,
,dracula,black,Perennials,medium,
,dracula,lavender,Perennials,medium,
,dracula,purple,Perennials,medium,
,dracula,red,Perennials,medium,
,dracula,white,Perennials,medium,
,dracula,yellow,Perennials,medium,
,dryas,cream,"Perennials, Shrubs",medium,
,dryas,white,"Perennials, Shrubs",medium,
,dryas,yellow,"Perennials, Shrubs",medium,
purple coneflower,echinacea,brown,Perennials,low,
purple coneflower,echinacea,orange,Perennials,low,
purple coneflower,echinacea,pink,Perennials,low,
purple coneflower,echinacea,purple,Perennials,low,
purple coneflower,echinacea,red,Perennials,low,
purple coneflower,echinacea,white,Perennials,low,
purple coneflower,echinacea,yellow,Perennials,low,
great globe thistle,echinops,blue,Perennials,low,
great globe thistle,echinops,gray,Perennials,low,
great globe thistle,echinops,green,Perennials,low,
great globe thistle,echinops,purple,Perennials,low,
great globe thistle,echinops,white,Perennials,low,
,emilia,orange,Annuals,low,
,emilia,purple,Annuals,low,
,emilia,red,Annuals,low,
,epimedium,orange,Perennials,low,
,epimedium,pink,Perennials,low,
,epimedium,purple,Perennials,low,
,epimedium,red,Perennials,low,
,epimedium,white,Perennials,low,
,epimedium,yellow,Perennials,low,
climbing cactus,epiphyllum,orange,Cactus - Succulents,medium,
climbing cactus,epiphyllum,pink,Cactus - Succulents,medium,
climbing cactus,epiphyllum,purple,Cactus - Succulents,medium,
climbing cactus,epiphyllum,red,Cactus - Succulents,medium,
climbing cactus,epiphyllum,white,Cactus - Succulents,medium,
climbing cactus,epiphyllum,yellow,Cactus - Succulents,medium,
,eranthis,white,"Bulbs, Perennials",low,
,eranthis,yellow,"Bulbs, Perennials",low,
,eremurus,orange,Perennials,low,
,eremurus,pink,Perennials,low,
,eremurus,white,Perennials,low,
,eremurus,yellow,Perennials,low,
eryngo,eryngium,blue,"Annuals, Perennials",low,
eryngo,eryngium,green,"Annuals, Perennials",low,
eryngo,eryngium,purple,"Annuals, Perennials",low,
,erysimum,orange,"Annuals, Perennials, Shrubs",low,
,erysimum,red,"Annuals, Perennials, Shrubs",low,
,erysimum,yellow,"Annuals, Perennials, Shrubs",low,
,erythronium,pink,"Bulbs, Perennials",low,
,erythronium,purple,"Bulbs, Perennials",low,
,erythronium,red,"Bulbs, Perennials",low,
,erythronium,white,"Bulbs, Perennials",low,
,erythronium,yellow,"Bulbs, Perennials",low,
,eschscholzia,orange,"Annuals, Perennials",low,
,eschscholzia,yellow,"Annuals, Perennials",low,
,euphorbia,yellow,"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",low,
prairie gentian,eustoma,blue,"Annuals, Perennials",medium,
prairie gentian,eustoma,cream,"Annuals, Perennials",medium,
prairie gentian,eustoma,lilac,"Annuals, Perennials",medium,
prairie gentian,eustoma,pink,"Annuals, Perennials",medium,
prairie gentian,eustoma,purple,"Annuals, Perennials",medium,
prairie gentian,eustoma,white,"Annuals, Perennials",medium,
,felicia,blue,"Annuals, Perennials, Shrubs",low,
,felicia,lilac,"Annuals, Perennials, Shrubs",low,
,felicia,purple,"Annuals, Perennials, Shrubs",low,
,felicia,white,"Annuals, Perennials, Shrubs",low,
,felicia,yellow,"Annuals, Perennials, Shrubs",low,
showy forsythia,forsythia,yellow,Shrubs,low,
,freesia,lavender,"Bulbs, Perennials",low,
,freesia,orange,"Bulbs, Perennials",low,
,freesia,pink,"Bulbs, Perennials",low,
,freesia,purple,"Bulbs, Perennials",low,
,freesia,red,"Bulbs, Perennials",low,
,freesia,white,"Bulbs, Perennials",low,
,freesia,yellow,"Bulbs, Perennials",low,
mission bells,fritillaria,green,"Bulbs, Perennials",low,
mission bells,fritillaria,orange,"Bulbs, Perennials",low,
mission bells,fritillaria,red,"Bulbs, Perennials",low,
mission bells,fritillaria,yellow,"Bulbs, Perennials",low,
,fuchsia,fuchsia,"Shrubs, Trees",low,
,fuchsia,orange,"Shrubs, Trees",low,
,fuchsia,purple,"Shrubs, Trees",low,
,fuchsia,red,"Shrubs, Trees",low,
,fuchsia,white,"Shrubs, Trees",low,
,fuchsia,yellow,"Shrubs, Trees",low,
blanket-flower,gaillardia,brown,"Annuals, Perennials",low,
blanket-flower,gaillardia,orange,"Annuals, Perennials",low,
blanket-flower,gaillardia,purple,"Annuals, Perennials",low,
blanket-flower,gaillardia,red,"Annuals, Perennials",low,
blanket-flower,gaillardia,yellow,"Annuals, Perennials",low,
,galanthus,white,"Bulbs, Perennials",low,
,gardenia,cream,"Shrubs, Trees",hard,
,gardenia,white,"Shrubs, Trees",hard,
,gardenia,yellow,"Shrubs, Trees",hard,
,gazania,orange,"Annuals, Perennials",low,
,gazania,pink,"Annuals, Perennials",low,
,gazania,red,"Annuals, Perennials",low,
,gazania,white,"Annuals, Perennials",low,
,gazania,yellow,"Annuals, Perennials",low,
three-flower gentian,gentiana,blue,"Annuals, Perennials",low,
three-flower gentian,gentiana,purple,"Annuals, Perennials",low,
three-flower gentian,gentiana,red,"Annuals, Perennials",low,
three-flower gentian,gentiana,white,"Annuals, Perennials",low,
three-flower gentian,gentiana,yellow,"Annuals, Perennials",low,
Cranesbill,geranium,blue,"Annuals, Perennials",low,
Cranesbill,geranium,pink,"Annuals, Perennials",low,
Cranesbill,geranium,purple,"Annuals, Perennials",low,
Cranesbill,geranium,red,"Annuals, Perennials",low,
Cranesbill,geranium,white,"Annuals, Perennials",low,
Transvaal Daisy,gerbera,blue,Perennials,low,
Avens,geum,orange,Perennials,low,
Avens,geum,pink,Perennials,low,
Avens,geum,red,Perennials,low,
Avens,geum,white,Perennials,low,
Avens,geum,yellow,Perennials,low,
Gladiolus,gladiolus,green,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,lavender,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,pink,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,purple,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,red,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,white,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,yellow,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
glory-lily,gloriosa,orange,"Annuals, Bulbs, Climbers, Perennials",medium,
glory-lily,gloriosa,pink,"Annuals, Bulbs, Climbers, Perennials",medium,
glory-lily,gloriosa,red,"Annuals, Bulbs, Climbers, Perennials",medium,
glory-lily,gloriosa,yellow,"Annuals, Bulbs, Climbers, Perennials",medium,
globe amaranth,gomphrena,orange,"Annuals, Perennials",low,
globe amaranth,gomphrena,pink,"Annuals, Perennials",low,
globe amaranth,gomphrena,purple,"Annuals, Perennials",low,
globe amaranth,gomphrena,red,"Annuals, Perennials",low,
globe amaranth,gomphrena,white,"Annuals, Perennials",low,
globe amaranth,gomphrena,yellow,"Annuals, Perennials",low,
,grevillea,orange,"Shrubs, Trees",low,
,grevillea,purple,"Shrubs, Trees",low,
,grevillea,red,"Shrubs, Trees",low,
,grevillea,white,"Shrubs, Trees",low,
,grevillea,yellow,"Shrubs, Trees",low,
Baby’s Breath,gypsophila,pink,"Annuals, Perennials",low,Everlasting Love
Baby’s Breath,gypsophila,white,"Annuals, Perennials",low,Everlasting Love
,hamamelis,red,"Shrubs, Trees",low,
,hamamelis,yellow,"Shrubs, Trees",low,
sneezeweed,helenium,brown,"Annuals, Perennials",medium,
sneezeweed,helenium,orange,"Annuals, Perennials",medium,
sneezeweed,helenium,red,"Annuals, Perennials",medium,
sneezeweed,helenium,yellow,"Annuals, Perennials",medium,
sunflower,helianthus,brown,"Annuals, Perennials",low,
sunflower,helianthus,cream,"Annuals, Perennials",low,
sunflower,helianthus,orange,"Annuals, Perennials",low,
sunflower,helianthus,purple,"Annuals, Perennials",low,
sunflower,helianthus,red,"Annuals, Perennials",low,
sunflower,helianthus,yellow,"Annuals, Perennials",low,
,heliconia,green,Perennials,low,
,heliconia,orange,Perennials,low,
,heliconia,pink,Perennials,low,
,heliconia,red,Perennials,low,
,heliconia,yellow,Perennials,low,
green hellebore,helleborus,black,Perennials,low,
green hellebore,helleborus,green,Perennials,low,
green hellebore,helleborus,pink,Perennials,low,
green hellebore,helleborus,purple,Perennials,low,
green hellebore,helleborus,white,Perennials,low,
green hellebore,helleborus,yellow,Perennials,low,
Rosemallow,hibiscus,blue,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,orange,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,pink,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,purple,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,red,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,white,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,yellow,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
hippeastrum,hippeastrum,green,Bulbs,low,
hippeastrum,hippeastrum,orange,Bulbs,low,
hippeastrum,hippeastrum,pink,Bulbs,low,
hippeastrum,hippeastrum,red,Bulbs,low,
hippeastrum,hippeastrum,white,Bulbs,low,
hippeastrum,hippeastrum,yellow,Bulbs,low,
plantain lily,hosta,lavender,Perennials,low,
plantain lily,hosta,purple,Perennials,low,
plantain lily,hosta,white,Perennials,low,
,hoya,green,"Climbers, Perennials, Shrubs",low,
,hoya,orange,"Climbers, Perennials, Shrubs",low,
,hoya,pink,"Climbers, Perennials, Shrubs",low,
,hoya,purple,"Climbers, Perennials, Shrubs",low,
,hoya,red,"Climbers, Perennials, Shrubs",low,
,hoya,white,"Climbers, Perennials, Shrubs",low,
Hyacinth,hyacinthus,blue,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,orange,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,pink,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,purple,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,red,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,white,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,yellow,Bulbs,low,Sport; Game; Play
Hortensia,hydrangea,blue,"Climbers, Shrubs, Trees",low,Gratitude for being understood; Frigidity and heartlessness
Hortensia,hydrangea,pink,"Climbers, Shrubs, Trees",low,Gratitude for being understood; Frigidity and heartlessness
Hortensia,hydrangea,purple,"Climbers, Shrubs, Trees",low,Gratitude for being understood; Frigidity and heartlessness
Hortensia,hydrangea,red,"Climbers, Shrubs, Trees",low,Gratitude for being understood; Frigidity and heartlessness
Hortensia,hydrangea,white,"Climbers, Shrubs, Trees",low,Gratitude for being understood; Frigidity and heartlessness
St. John’s Wort,hypericum,yellow,"Annuals, Perennials, Shrubs, Trees",low,
,hypoxis,yellow,Perennials,low,
,hyssopus,blue,"Perennials, Shrubs",low,
,hyssopus,pink,"Perennials, Shrubs",low,
,hyssopus,purple,"Perennials, Shrubs",low,
,hyssopus,white,"Perennials, Shrubs",low,
candytuft,iberis,lilac,"Annuals, Perennials, Shrubs",medium,Indifference
candytuft,iberis,pink,"Annuals, Perennials, Shrubs",medium,Indifference
candytuft,iberis,white,"Annuals, Perennials, Shrubs",medium,Indifference
,impatiens,blue,"Annuals, Perennials",low,
,impatiens,orange,"Annuals, Perennials",low,
,impatiens,pink,"Annuals, Perennials",low,
,impatiens,purple,"Annuals, Perennials",low,
,impatiens,red,"Annuals, Perennials",low,
,impatiens,white,"Annuals, Perennials",low,
,impatiens,yellow,"Annuals, Perennials",low,
Morning glory,ipomoea,blue,"Annuals, Climbers, Perennials, Shrubs, Trees",low,
Morning glory,ipomoea,purple,"Annuals, Climbers, Perennials, Shrubs, Trees",low,
Morning glory,ipomoea,red,"Annuals, Climbers, Perennials, Shrubs, Trees",low,
