common_name,scientific_name,color,planttype,maintenance,meaning
Morning glory,ipomoea,white,"Annuals, Climbers, Perennials, Shrubs, Trees",low,
Morning glory,ipomoea,yellow,"Annuals, Climbers, Perennials, Shrubs, Trees",low,
,iris,black,Perennials,low,
,iris,blue,Perennials,low,
,iris,brown,Perennials,low,
,iris,orange,Perennials,low,
,iris,pink,Perennials,low,
,iris,purple,Perennials,low,
,iris,red,Perennials,low,
,iris,white,Perennials,low,
,iris,yellow,Perennials,low,
,ixora,orange,"Shrubs, Trees",low,
,ixora,pink,"Shrubs, Trees",low,
,ixora,red,"Shrubs, Trees",low,
,ixora,white,"Shrubs, Trees",low,
,ixora,yellow,"Shrubs, Trees",low,
,jacaranda,blue,"Shrubs, Trees",low,
,jacaranda,purple,"Shrubs, Trees",low,
,jasione,blue,"Annuals, Perennials",low,
,jasione,purple,"Annuals, Perennials",low,
Jasmine,jasminum,white,"Climbers, Shrubs",low,Sweet love; Amiability
Jasmine,jasminum,yellow,"Climbers, Shrubs",low,Grace; Elegance
,justicia,cream,"Perennials, Shrubs",low,
,justicia,orange,"Perennials, Shrubs",low,
,justicia,pink,"Perennials, Shrubs",low,
,justicia,red,"Perennials, Shrubs",low,
,justicia,white,"Perennials, Shrubs",low,
,justicia,yellow,"Perennials, Shrubs",low,
widow's-thrill,kalanchoe,orange,"Cactus - Succulents, Perennials, Shrubs",low,
widow's-thrill,kalanchoe,pink,"Cactus - Succulents, Perennials, Shrubs",low,
widow's-thrill,kalanchoe,red,"Cactus - Succulents, Perennials, Shrubs",low,
widow's-thrill,kalanchoe,white,"Cactus - Succulents, Perennials, Shrubs",low,
mountain laurel,kalmia,lavender,Shrubs,low,
mountain laurel,kalmia,pink,Shrubs,low,
mountain laurel,kalmia,purple,Shrubs,low,
mountain laurel,kalmia,white,Shrubs,low,
mountain laurel,kerria,yellow,Shrubs,low,
redhot poker,kniphofia,cream,Perennials,low,
redhot poker,kniphofia,orange,Perennials,low,
redhot poker,kniphofia,red,Perennials,low,
redhot poker,kniphofia,yellow,Perennials,low,
,kolkwitzia,pink,Shrubs,low,
,kolkwitzia,white,Shrubs,low,
,kolkwitzia,yellow,Shrubs,low,
,kunzea,pink,"Shrubs, Trees",low,
,kunzea,purple,"Shrubs, Trees",low,
,kunzea,red,"Shrubs, Trees",low,
,kunzea,white,"Shrubs, Trees",low,
,kunzea,yellow,"Shrubs, Trees",low,
,lantana,lavender,"Annuals, Perennials, Shrubs",low,
,lantana,orange,"Annuals, Perennials, Shrubs",low,
,lantana,pink,"Annuals, Perennials, Shrubs",low,
,lantana,red,"Annuals, Perennials, Shrubs",low,
,lantana,white,"Annuals, Perennials, Shrubs",low,
,lantana,yellow,"Annuals, Perennials, Shrubs",low,
sweet pea,lathyrus,blue,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,cream,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,lavender,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,magenta,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,pink,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,purple,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,red,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,scarlet,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,white,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
sweet pea,lathyrus,yellow,"Annuals, Climbers, Perennials",low,Blissful pleasures; Goodbye; Thank you for a lovely time
French lavender,lavandula,blue,"Herbs, Perennials, Shrubs",medium,Distrust
French lavender,lavandula,lavender,"Herbs, Perennials, Shrubs",medium,Distrust
French lavender,lavandula,pink,"Herbs, Perennials, Shrubs",medium,Distrust
French lavender,lavandula,purple,"Herbs, Perennials, Shrubs",medium,Distrust
French lavender,lavandula,white,"Herbs, Perennials, Shrubs",medium,Distrust
,leontopodium,yellow,Perennials,low,
snowflake,leucojum,green,"Bulbs, Perennials",low,
snowflake,leucojum,white,"Bulbs, Perennials",low,
,lewisia,orange,Perennials,low,
,lewisia,pink,Perennials,low,
,lewisia,purple,Perennials,low,
,lewisia,red,Perennials,low,
,lewisia,white,Perennials,low,
prairie-pine,liatris,lavender,Perennials,low,
prairie-pine,liatris,pink,Perennials,low,
prairie-pine,liatris,purple,Perennials,low,
prairie-pine,liatris,rose,Perennials,low,
prairie-pine,liatris,violet,Perennials,low,
prairie-pine,liatris,white,Perennials,low,
lily,lilium,orange,"Bulbs, Perennials",low,Hatred
lily,lilium,red,"Bulbs, Perennials",low,
lily,lilium,white,"Bulbs, Perennials",low,Virginity; Purity; Heavenly
lily,lilium,yellow,"Bulbs, Perennials",low,Happy; Gay; Walking on air
Mediterranean sealavender,limonium,blue,"Annuals, Perennials, Shrubs",low,
Mediterranean sealavender,limonium,pink,"Annuals, Perennials, Shrubs",low,
Mediterranean sealavender,limonium,purple,"Annuals, Perennials, Shrubs",low,
Mediterranean sealavender,limonium,white,"Annuals, Perennials, Shrubs",low,
Mediterranean sealavender,limonium,yellow,"Annuals, Perennials, Shrubs",low,
,lobelia,blue,"Annuals, Perennials, Shrubs",low,
,lobelia,pink,"Annuals, Perennials, Shrubs",low,
,lobelia,purple,"Annuals, Perennials, Shrubs",low,
,lobelia,red,"Annuals, Perennials, Shrubs",low,
,lobelia,white,"Annuals, Perennials, Shrubs",low,
honeysuckle,lonicera,orange,"Climbers, Shrubs",low,Bonds of love
honeysuckle,lonicera,pink,"Climbers, Shrubs",low,Bonds of love
honeysuckle,lonicera,red,"Climbers, Shrubs",low,Bonds of love
honeysuckle,lonicera,white,"Climbers, Shrubs",low,Bonds of love
honeysuckle,lonicera,yellow,"Climbers, Shrubs",low,Bonds of love
White Lupine,lupinus,blue,"Annuals, Perennials",low,
White Lupine,lupinus,pink,"Annuals, Perennials",low,
White Lupine,lupinus,purple,"Annuals, Perennials",low,
White Lupine,lupinus,white,"Annuals, Perennials",low,
White Lupine,lupinus,yellow,"Annuals, Perennials",low,
,lycoris,orange,"Bulbs, Perennials",low,
,lycoris,pink,"Bulbs, Perennials",low,
,lycoris,red,"Bulbs, Perennials",low,
,lycoris,white,"Bulbs, Perennials",low,
,lycoris,yellow,"Bulbs, Perennials",low,
Magnolia,magnolia,pink,"Shrubs, Trees",low,Nobility; Love of nature
Magnolia,magnolia,purple,"Shrubs, Trees",low,Nobility; Love of nature
Magnolia,magnolia,white,"Shrubs, Trees",low,Nobility; Love of nature
Magnolia,magnolia,yellow,"Shrubs, Trees",low,Nobility; Love of nature
,malva,pink,"Annuals, Perennials",low,
,malva,purple,"Annuals, Perennials",low,
,malva,white,"Annuals, Perennials",low,
,mandevilla,pink,"Annuals, Climbers, Perennials",medium,
,mandevilla,red,"Annuals, Climbers, Perennials",medium,
,mandevilla,white,"Annuals, Climbers, Perennials",medium,
,mandevilla,yellow,"Annuals, Climbers, Perennials",medium,
,mimosa,pink,"Annuals, Perennials, Shrubs, Trees",medium,
,mimosa,purple,"Annuals, Perennials, Shrubs, Trees",medium,
,mimosa,white,"Annuals, Perennials, Shrubs, Trees",medium,
,monarda,pink,Perennials,low,
,monarda,purple,Perennials,low,
,monarda,red,Perennials,low,
,monarda,white,Perennials,low,
Grape Hyacinth,muscari,blue,Bulbs,low,
Grape Hyacinth,muscari,pink,Bulbs,low,
Grape Hyacinth,muscari,white,Bulbs,low,
Grape Hyacinth,muscari,yellow,Bulbs,low,
forget-me-not,myosotis,blue,Perennials,low,True love memories; Do not forget me
forget-me-not,myosotis,pink,Perennials,low,True love memories; Do not forget me
forget-me-not,myosotis,white,Perennials,low,True love memories; Do not forget me
forget-me-not,myosotis,yellow,Perennials,low,True love memories; Do not forget me
,myrtus,white,"Shrubs, Trees",low,Good luck; Love in a marriage
cream daffodil,narcissus,white,"Bulbs, Perennials",low,Regard; Unequalled love
cream daffodil,narcissus,yellow,"Bulbs, Perennials",low,Regard; Unequalled love
lotus,nelumbo,pink,Perennials,low,
lotus,nelumbo,white,Perennials,low,
lotus,nelumbo,yellow,Perennials,low,
,nemesia,blue,"Annuals, Perennials, Shrubs",low,
,nemesia,cream,"Annuals, Perennials, Shrubs",low,
,nemesia,orange,"Annuals, Perennials, Shrubs",low,
,nemesia,pink,"Annuals, Perennials, Shrubs",low,
,nemesia,purple,"Annuals, Perennials, Shrubs",low,
,nemesia,red,"Annuals, Perennials, Shrubs",low,
,nemesia,white,"Annuals, Perennials, Shrubs",low,
,nemesia,yellow,"Annuals, Perennials, Shrubs",low,
,nemophila,blue,Annuals,low,
,nemophila,purple,Annuals,low,
,nepeta,blue,Perennials,low,
,nepeta,pink,Perennials,low,
,nepeta,purple,Perennials,low,
,nepeta,white,Perennials,low,
,nepeta,yellow,Perennials,low,
Guernsey Lily,nerine,orange,"Bulbs, Perennials",medium,
Guernsey Lily,nerine,pink,"Bulbs, Perennials",medium,
Guernsey Lily,nerine,red,"Bulbs, Perennials",medium,
Guernsey Lily,nerine,white,"Bulbs, Perennials",medium,
,nerium,cream,"Shrubs, Trees",low,
,nerium,pink,"Shrubs, Trees",low,
,nerium,purple,"Shrubs, Trees",low,
,nerium,red,"Shrubs, Trees",low,
,nerium,white,"Shrubs, Trees",low,
,nerium,yellow,"Shrubs, Trees",low,
Nutmeg Flower,nigella,blue,Annuals,low,
Nutmeg Flower,nigella,pink,Annuals,low,
Nutmeg Flower,nigella,white,Annuals,low,
Nutmeg Flower,nigella,yellow,Annuals,low,
,obregonia,pink,Cactus - Succulents,medium,
,obregonia,white,Cactus - Succulents,medium,
,obregonia,yellow,Cactus - Succulents,medium,
,oenothera,pink,"Annuals, Perennials",low,
,oenothera,white,"Annuals, Perennials",low,
,oenothera,yellow,"Annuals, Perennials",low,
,opuntia,pink,Cactus - Succulents,low,
,opuntia,red,Cactus - Succulents,low,
,opuntia,white,Cactus - Succulents,low,
,opuntia,yellow,Cactus - Succulents,low,
garden star-of-Bethlehem,ornithogalum,orange,"Bulbs, Perennials",low,
garden star-of-Bethlehem,ornithogalum,white,"Bulbs, Perennials",low,
garden star-of-Bethlehem,ornithogalum,yellow,"Bulbs, Perennials",low,
,osteospermum,blue,"Annuals, Perennials, Shrubs",low,
,osteospermum,cream,"Annuals, Perennials, Shrubs",low,
,osteospermum,pink,"Annuals, Perennials, Shrubs",low,
,osteospermum,purple,"Annuals, Perennials, Shrubs",low,
,osteospermum,white,"Annuals, Perennials, Shrubs",low,
,osteospermum,yellow,"Annuals, Perennials, Shrubs",low,
triangeloxalis,oxalis,pink,"Annuals, Bulbs, Perennials",low,
triangeloxalis,oxalis,purple,"Annuals, Bulbs, Perennials",low,
triangeloxalis,oxalis,white,"Annuals, Bulbs, Perennials",low,
triangeloxalis,oxalis,yellow,"Annuals, Bulbs, Perennials",low,
mountain peony,paeonia,pink,"Perennials, Shrubs",low,Bashful; Happy life; Shame
mountain peony,paeonia,purple,"Perennials, Shrubs",low,Bashful; Happy life; Shame
mountain peony,paeonia,red,"Perennials, Shrubs",low,Bashful; Happy life; Shame
mountain peony,paeonia,white,"Perennials, Shrubs",low,Bashful; Happy life; Shame
mountain peony,paeonia,yellow,"Perennials, Shrubs",low,Bashful; Happy life; Shame
poppy,papaver,orange,"Annuals, Perennials",low,Consolation
poppy,papaver,pink,"Annuals, Perennials",low,Consolation
poppy,papaver,purple,"Annuals, Perennials",low,Consolation
poppy,papaver,red,"Annuals, Perennials",low,Consolation
poppy,papaver,white,"Annuals, Perennials",low,Consolation
poppy,papaver,yellow,"Annuals, Perennials",low,Consolation
passionflower,passiflora,blue,"Annuals, Climbers, Perennials, Shrubs, Trees",medium,
passionflower,passiflora,purple,"Annuals, Climbers, Perennials, Shrubs, Trees",medium,
passionflower,passiflora,white,"Annuals, Climbers, Perennials, Shrubs, Trees",medium,
pelargonium,pelargonium,orange,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity
pelargonium,pelargonium,pink,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity
pelargonium,pelargonium,purple,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity
pelargonium,pelargonium,red,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity
pelargonium,pelargonium,white,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,Folly; Stupidity
,penstemon,blue,Perennials,low,
,penstemon,purple,Perennials,low,
,penstemon,red,Perennials,low,
,penstemon,white,Perennials,low,
,penstemon,yellow,Perennials,low,
,perovskia,blue,"Perennials, Shrubs",low,
,perovskia,purple,"Perennials, Shrubs",low,
petunia,petunia,blue,"Annuals, Perennials",low,
petunia,petunia,pink,"Annuals, Perennials",low,
petunia,petunia,purple,"Annuals, Perennials",low,
petunia,petunia,red,"Annuals, Perennials",low,
petunia,petunia,white,"Annuals, Perennials",low,
petunia,petunia,yellow,"Annuals, Perennials",low,
,phacelia,blue,"Annuals, Perennials",low,
,phacelia,purple,"Annuals, Perennials",low,
phlox,phlox,lavender,"Annuals, Perennials",medium,
phlox,phlox,magenta,"Annuals, Perennials",medium,
phlox,phlox,pink,"Annuals, Perennials",medium,
phlox,phlox,purple,"Annuals, Perennials",medium,
phlox,phlox,red,"Annuals, Perennials",medium,
phlox,phlox,rose,"Annuals, Perennials",medium,
phlox,phlox,white,"Annuals, Perennials",medium,
phlox,phlox,yellow,"Annuals, Perennials",medium,
,platycodon,blue,Perennials,low,
,platycodon,pink,Perennials,low,
,platycodon,purple,Perennials,low,
,platycodon,white,Perennials,low,
,plumbago,blue,"Annuals, Climbers, Perennials, Shrubs",low,
,plumbago,white,"Annuals, Climbers, Perennials, Shrubs",low,
,plumeria,pink,"Shrubs, Trees",low,
,plumeria,red,"Shrubs, Trees",low,
,plumeria,white,"Shrubs, Trees",low,
,plumeria,yellow,"Shrubs, Trees",low,
Solomon's seal,polygonatum,green,Perennials,low,
Solomon's seal,polygonatum,pink,Perennials,low,
Solomon's seal,polygonatum,white,Perennials,low,
,potentilla,pink,"Annuals, Perennials, Shrubs",low,
,potentilla,purple,"Annuals, Perennials, Shrubs",low,
,potentilla,red,"Annuals, Perennials, Shrubs",low,
,potentilla,white,"Annuals, Perennials, Shrubs",low,
,potentilla,yellow,"Annuals, Perennials, Shrubs",low,
,primula,blue,Perennials,low,
,primula,green,Perennials,low,
,primula,orange,Perennials,low,
,primula,pink,Perennials,low,
,primula,purple,Perennials,low,
,primula,red,Perennials,low,
,primula,white,Perennials,low,
,primula,yellow,Perennials,low,
,protea,green,"Shrubs, Trees",low,
,protea,orange,"Shrubs, Trees",low,
,protea,purple,"Shrubs, Trees",low,
,protea,red,"Shrubs, Trees",low,
,protea,white,"Shrubs, Trees",low,
,protea,yellow,"Shrubs, Trees",low,
plum,prunus,pink,"Shrubs, Trees",low,
plum,prunus,purple,"Shrubs, Trees",low,
plum,prunus,red,"Shrubs, Trees",low,
plum,prunus,white,"Shrubs, Trees",low,
,pulmonaria,blue,Perennials,low,
,pulmonaria,pink,Perennials,low,
,pulmonaria,purple,Perennials,low,
,pulmonaria,white,Perennials,low,
,quesnelia,blue,"Cactus - Succulents, Perennials",low,
,quesnelia,pink,"Cactus - Succulents, Perennials",low,
,quesnelia,red,"Cactus - Succulents, Perennials",low,
,quesnelia,yellow,"Cactus - Succulents, Perennials",low,
Corpse Flower,rafflesia,brown,,low,
Corpse Flower,rafflesia,white,,low,
renoncules,ranunculus,pink,"Annuals, Bulbs, Perennials",low,
renoncules,ranunculus,red,"Annuals, Bulbs, Perennials",low,
renoncules,ranunculus,white,"Annuals, Bulbs, Perennials",low,
renoncules,ranunculus,yellow,"Annuals, Bulbs, Perennials",low,
Rhododendron,rhododendron,gold,"Shrubs, Trees",low,Danger; beware
Rhododendron,rhododendron,orange,"Shrubs, Trees",low,Danger; beware
Rhododendron,rhododendron,pink,"Shrubs, Trees",low,Danger; beware
Rhododendron,rhododendron,purple,"Shrubs, Trees",low,Danger; beware
Rhododendron,rhododendron,red,"Shrubs, Trees",low,Danger; beware
Rhododendron,rhododendron,white,"Shrubs, Trees",low,Danger; beware
,rondeletia,pink,"Shrubs, Trees",low,
,rondeletia,red,"Shrubs, Trees",low,
,rondeletia,white,"Shrubs, Trees",low,
,rondeletia,yellow,"Shrubs, Trees",low,
damask rose,rosa,pink,"Climbers, Roses, Shrubs",medium,Happiness
damask rose,rosa,purple,"Climbers, Roses, Shrubs",medium,
damask rose,rosa,red,"Climbers, Roses, Shrubs",medium,Love; I love you
damask rose,rosa,white,"Climbers, Roses, Shrubs",medium,Innocence; Heavenly; I’m worthy of you
damask rose,rosa,yellow,"Climbers, Roses, Shrubs",medium,Jealousy; Decrease of love; Infidelity
Coneflower,rudbeckia,black,"Annuals, Perennials",low,Justice
Coneflower,rudbeckia,brown,"Annuals, Perennials",low,Justice
Coneflower,rudbeckia,green,"Annuals, Perennials",low,Justice
Coneflower,rudbeckia,orange,"Annuals, Perennials",low,Justice
Coneflower,rudbeckia,red,"Annuals, Perennials",low,Justice
Coneflower,rudbeckia,yellow,"Annuals, Perennials",low,Justice
Sage,salvia,blue,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality
Sage,salvia,pink,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality
Sage,salvia,red,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality
Sage,salvia,white,"Annuals, Perennials, Shrubs",low,Wisdom; Immortality
,sandersonia,orange,"Climbers, Perennials",low,
,sandersonia,yellow,"Climbers, Perennials",low,
,saxifraga,pink,Perennials,low,
,saxifraga,purple,Perennials,low,
,saxifraga,red,Perennials,low,
,saxifraga,white,Perennials,low,
,saxifraga,yellow,Perennials,low,
starflower pincushions,scabiosa,blue,"Annuals, Perennials",low,
starflower pincushions,scabiosa,pink,"Annuals, Perennials",low,
starflower pincushions,scabiosa,purple,"Annuals, Perennials",low,
starflower pincushions,scabiosa,red,"Annuals, Perennials",low,
starflower pincushions,scabiosa,white,"Annuals, Perennials",low,
starflower pincushions,scabiosa,yellow,"Annuals, Perennials",low,
,scilla,blue,Bulbs,low,
,scilla,purple,Bulbs,low,
,scilla,white,Bulbs,low,
,sedum,orange,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
,sedum,pink,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
,sedum,purple,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
,sedum,red,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
,sedum,white,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
,sedum,yellow,"Annuals, Cactus - Succulents, Perennials, Shrubs",low,
European goldenrod,solidago,yellow,Perennials,low,Encouragement; Good fortune
Thunberg's meadowsweet,spiraea,cream,Shrubs,low,
Thunberg's meadowsweet,spiraea,pink,Shrubs,low,
Thunberg's meadowsweet,spiraea,purple,Shrubs,low,
Thunberg's meadowsweet,spiraea,white,Shrubs,low,
Thunberg's meadowsweet,spiraea,yellow,Shrubs,low,
Bird of Paradise,strelitzia,blue,"Perennials, Shrubs",low,
Bird of Paradise,strelitzia,orange,"Perennials, Shrubs",low,
Bird of Paradise,strelitzia,purple,"Perennials, Shrubs",low,
Bird of Paradise,strelitzia,red,"Perennials, Shrubs",low,
Bird of Paradise,strelitzia,yellow,"Perennials, Shrubs",low,
Lilac,syringa,blue,"Shrubs, Trees",low,Joy of youth
Lilac,syringa,pink,"Shrubs, Trees",low,Joy of youth
Lilac,syringa,red,"Shrubs, Trees",low,Joy of youth
Lilac,syringa,white,"Shrubs, Trees",low,Joy of youth
Lilac,syringa,yellow,"Shrubs, Trees",low,Joy of youth
Marigold,tagetes,orange,"Annuals, Perennials, Shrubs",low,Grief; Jealousy
Marigold,tagetes,white,"Annuals, Perennials, Shrubs",low,Grief; Jealousy
Marigold,tagetes,yellow,"Annuals, Perennials, Shrubs",low,Grief; Jealousy
Tansy,tanacetum,white,"Annuals, Perennials, Shrubs",medium,Hostile thoughts; Declaring war
Tansy,tanacetum,yellow,"Annuals, Perennials, Shrubs",medium,Hostile thoughts; Declaring war
,taraxacum,white,Perennials,low,
,taraxacum,yellow,Perennials,low,
,tigridia,cream,Bulbs,low,
,tigridia,orange,Bulbs,low,
,tigridia,pink,Bulbs,low,
,tigridia,red,Bulbs,low,
,tigridia,scarlet,Bulbs,low,
,tigridia,white,Bulbs,low,
,tigridia,yellow,Bulbs,low,
,torenia,blue,Annuals,medium,
,torenia,pink,Annuals,medium,
,torenia,purple,Annuals,medium,
,torenia,white,Annuals,medium,
,torenia,yellow,Annuals,medium,
oyster plant,tradescantia,blue,Perennials,low,
oyster plant,tradescantia,pink,Perennials,low,
oyster plant,tradescantia,purple,Perennials,low,
oyster plant,tradescantia,red,Perennials,low,
oyster plant,tradescantia,white,Perennials,low,
tricyrtis,tricyrtis,purple,Perennials,low,
tricyrtis,tricyrtis,red,Perennials,low,
tricyrtis,tricyrtis,white,Perennials,low,
tricyrtis,tricyrtis,yellow,Perennials,low,
,trillium,maroon,Perennials,low,
,trillium,pink,Perennials,low,
,trillium,purple,Perennials,low,
,trillium,red,Perennials,low,
,trillium,white,Perennials,low,
,trillium,yellow,Perennials,low,
,trollius,orange,Perennials,low,
,trollius,white,Perennials,low,
,trollius,yellow,Perennials,low,
,tropaeolum,cream,"Annuals, Perennials",low,
,tropaeolum,orange,"Annuals, Perennials",low,
,tropaeolum,purple,"Annuals, Perennials",low,
,tropaeolum,red,"Annuals, Perennials",low,
,tropaeolum,yellow,"Annuals, Perennials",low,
,ulex,yellow,Shrubs,low,
,ursinia,orange,"Annuals, Perennials",low,
,ursinia,red,"Annuals, Perennials",low,
,ursinia,yellow,"Annuals, Perennials",low,
,valeriana,lavender,Perennials,low,
,valeriana,pink,Perennials,low,
,valeriana,white,Perennials,low,
,verbascum,pink,"Annuals, Perennials",low,
,verbascum,purple,"Annuals, Perennials",low,
,verbascum,red,"Annuals, Perennials",low,
,verbascum,white,"Annuals, Perennials",low,
,verbascum,yellow,"Annuals, Perennials",low,
,verbena,pink,"Annuals, Perennials",low,
,verbena,purple,"Annuals, Perennials",low,
,verbena,red,"Annuals, Perennials",low,
,verbena,white,"Annuals, Perennials",low,
Spiked Speedwell,veronica,blue,Perennials,low,Feminine fidelity
Spiked Speedwell,veronica,pink,Perennials,low,Feminine fidelity
Spiked Speedwell,veronica,purple,Perennials,low,Feminine fidelity
Spiked Speedwell,veronica,white,Perennials,low,Feminine fidelity
Culver's Root,veronicastrum,pink,Perennials,low,
Culver's Root,veronicastrum,purple,Perennials,low,
Culver's Root,veronicastrum,white,Perennials,low,
periwinkle,vinca,pink,"Perennials, Shrubs",low,
periwinkle,vinca,purple,"Perennials, Shrubs",low,
periwinkle,vinca,red,"Perennials, Shrubs",low,
periwinkle,vinca,white,"Perennials, Shrubs",low,
,viola,blue,"Annuals, Perennials, Shrubs",low,
,viola,cream,"Annuals, Perennials, Shrubs",low,
,viola,violet,"Annuals, Perennials, Shrubs",low,
,viola,white,"Annuals, Perennials, Shrubs",low,
,viola,yellow,"Annuals, Perennials, Shrubs",low,
Bugle Lily,watsonia,orange,"Bulbs, Perennials",low,
Bugle Lily,watsonia,pink,"Bulbs, Perennials",low,
Bugle Lily,watsonia,purple,"Bulbs, Perennials",low,
Bugle Lily,watsonia,red,"Bulbs, Perennials",low,
Bugle Lily,watsonia,white,"Bulbs, Perennials",low,
,weigela,pink,Shrubs,low,
,weigela,red,Shrubs,low,
,weigela,white,Shrubs,low,
,weigela,yellow,Shrubs,low,
wisteria,wisteria,blue,Climbers,hard,
wisteria,wisteria,pink,Climbers,hard,
wisteria,wisteria,purple,Climbers,hard,
wisteria,wisteria,white,Climbers,hard,
,xanthisma,purple,"Annuals, Perennials",low,
,xanthisma,white,"Annuals, Perennials",low,
,xanthisma,yellow,"Annuals, Perennials",low,
immortelle,xeranthemum,pink,Annuals,low,
immortelle,xeranthemum,purple,Annuals,low,
immortelle,xeranthemum,white,Annuals,low,
immortelle,xerochrysum,orange,"Annuals, Perennials, Shrubs",low,
immortelle,xerochrysum,pink,"Annuals, Perennials, Shrubs",low,
immortelle,xerochrysum,purple,"Annuals, Perennials, Shrubs",low,
immortelle,xerochrysum,red,"Annuals, Perennials, Shrubs",low,
immortelle,xerochrysum,yellow,"Annuals, Perennials, Shrubs",low,
western turkey-beard,xerophyllum,cream,"Herbs, Perennials",low,
,yucca,green,"Cactus - Succulents, Shrubs, Trees",low,
,yucca,white,"Cactus - Succulents, Shrubs, Trees",low,
Arum Lily,zantedeschia,black,"Bulbs, Perennials",low,Beauty
Arum Lily,zantedeschia,orange,"Bulbs, Perennials",low,Beauty
Arum Lily,zantedeschia,pink,"Bulbs, Perennials",low,Beauty
Arum Lily,zantedeschia,purple,"Bulbs, Perennials",low,Beauty
Arum Lily,zantedeschia,white,"Bulbs, Perennials",low,Beauty
Arum Lily,zantedeschia,yellow,"Bulbs, Perennials",low,Beauty
,zephyranthes,pink,"Annuals, Bulbs, Perennials",medium,
,zephyranthes,white,"Annuals, Bulbs, Perennials",medium,
,zephyranthes,yellow,"Annuals, Bulbs, Perennials",medium,
elegant zinnia,zinnia,orange,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
elegant zinnia,zinnia,pink,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
elegant zinnia,zinnia,purple,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
elegant zinnia,zinnia,red,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
elegant zinnia,zinnia,white,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
elegant zinnia,zinnia,yellow,"Annuals, Perennials, Shrubs",low,Thoughts of absent friends; Lasting affection
,zygopetalum,blue,"Annuals, Perennials",medium,
,zygopetalum,purple,"Annuals, Perennials",medium,
,zygopetalum,red,"Annuals, Perennials",medium,
,zygopetalum,white,"Annuals, Perennials",medium,
