common_name,meaning,occasions,scientific_name
Heather,"heather flower’s meanings goes as far back as celtic and pre-celtic times. but, always few straightforward meanings including: symbolism heather plant rich and steeped in history. growing on windy hills scotland, white wild heather come symbolize protection. early in history scotland, were many wars competing factions. throughout these battles position and power, white heather was worn as an amulet protection. was thought red and pink heathers were stained with blood. nobody wanted invite bloodshed into their life, so these colors heathers not be carried into battle. scottish legend also says no white heather will ever grow where blood been shed. one sweetest legends scottish folklore white heather only grows where fairies have been. most well known legend white heather in 3 rd century a.d., young maiden named malvina, daughter poet ossian was be married her true love oscar. oscar, warrior, never came home. killed in battle, messenger was sent deliver horrible news. messenger delivered horrible news with spray burgundy heather. malvina was inconsolable upon hearing news her true love’s death. wondering among moors and mossy hills, she shed futile tears. legend says as her tears fell upon heather turned purple flowers into white ones. instead drowning in bitterness, malvina decided right then and anyone who came across white heather be blessed with good fortune for all their days.",,
Hibiscus,"although specific meanings for hibiscus differ depending on culture beholder, some generalities about hibiscus symbolizes. considered very feminine flower and so usually given or worn by women. in north america especially, hibiscus means perfect wife or woman. in victorian times, giving hibiscus meant giver was acknowledging receiver’s delicate beauty. in china, hibiscuses symbolize fleeting and beauty fame or personal glory. given both men and women. hibiscus unofficial national flower haiti.",,Hibiscus
Hyacinth,"sincerity (blue) hyacinth flower name most interesting meaning. in greek mythology, apollo sun god and zephyr god west wind compete for young boy’s affections. at one point apollo teaching hyakinthos how throw discus and zephyr gets so angry he blows gust wind in apollo’s direction, which sends discus hurling back in direction hyakinthos, striking and killing him. apollo, brokenhearted, notices flower springs up from blood was spilled and names flower hyacinth in honor boy. symbol hyacinth flower remained pretty simple throughout history.",,Hyacinthus
Hydrangea,"vigorously growing hydrangea shrub symbolizes diverse meanings including: in japan, flower historical tradition behind linked apologies and gratitude. an emperor supposedly gave hydrangeas maiden he loved as an apology for neglecting her other business took up all his attention. contemporary florists in japan use represent genuine emotions and love because pink blossoms in particular resemble beating heat. victorians were not as fond hydrangea and considered mostly negative plant. flowers were sent declare someone boaster or braggart, or chastise someone for their frigidity in turning down claim romantic love. also means frigidity because medieval belief young women who grew or picked hydrangeas never find husband. modern western florists often use flowers in wedding bouquets and apology arrangements tie in with their graceful and abundant meanings.","try giving gift hydrangeas for: weddings, engagements, and other unifying ceremonies sending message “no thanks” suitor",Hydrangea
Iris,"iris means different things different people and cultures. some its most common meanings ancient greeks soon began practice planting purple iris flowers on graves women, believing they entice goddess iris lead their loved ones in their journey heaven. these stately flowers, as evidenced by their depiction in egyptian palaces, also enamored egyptian kings. egyptians were likely influenced by greek mythology and used iris symbolize their connections heaven. by middle ages, france took up gauntlet and began use iris flowers symbolize royalty and power. in fact, iris inspired fleur-de-lis, national symbol for france. in united states, iris birth flower for february, flower for 25th wedding anniversary and state flower for tennessee.",,
Jasmine,"jasmine flower associated with love. jasmine also symbolizes beauty and sensuality. in some cultures, jasmine represents appreciation and good luck. used in religious ceremonies jasmine represents purity. jasmine’s meanings varies depending on culture and setting. jasmine national flower pakistan. both bride and groom wear garlands white jasmine and red roses on their wedding day. floral bouquets jasmine and roses also used celebrate special occasions, and in burial garlands meaning final farewell. in philippines, garlands jasmine adorn participants in religious ceremonies while indonesians don jasmine for wedding ceremonies. in thailand, jasmine symbol for mother and portrays love and respect. in united states, jasmine symbolizes beauty, love and romance.",,Jasminum
Larkspur,"greek mythology: according greek mythology after death achilles, ajax and ulysses both tried claim his arms. greeks awarded them ulysses, ajax went into fit anger culminated in taking his own life with sword. ajax’s blood was spewed across land. larkspur flower sprang forth where ajax’s blood fell earth. letters i – initials ajax – said appear on petals flowers as remembrance ajax. native american legend: according native american legend, larkspur got its name from an angel or other celestial being descended from heavens. being parted sky and send down spike made from pieces sky so he climb down from heaven. rays sun dried spike and scattered in wind. tiny pieces sky burst forth into larkspur flowers wherever they touched earth. christian legend: christian legend states after crucifixion, christ was moved cave and boulder was placed in front door. while many doubted he rise again, tiny bunny tried remind them christ’s promise. all ignored him, bunny waited in dark until christ arose. bunny spoke christ and rejoiced he kept his promise. christ knelt down, showed bunny tiny blue larkspur flower, and told bunny behold image bunny’s face in flower. face bunny in larkspur flower symbolizes trusting in christ and remains symbol today.","larkspur flowers appropriate for many special occasions from birthdays housewarmings. these flowers often combined with other flowers in floral displays, making them suitable for family celebrations and other joyous occasions.",Delphinium
Lavender,"like all flowers, lavender flowers have common meanings. here list some most common meanings for lavender flowers: lavender flowers purple in color and color purple associated with crown chakra, which energy center associated with higher purpose and spiritual connectivity. crown or 7th chakra located at top head and vibration crown highest vibration in physical body. symbolism appropriate as lavender flower often used for healing and raising our vibration highest level possible easiest path healing.",,Lavandula
Lilac,"lilac flower many meanings, but most related expressing love or affection: in victorian times, giving lilac meant giver trying remind receiver first love. lilacs also express confidence giver for receiver. makes lilacs good gift for graduates. sprig lilacs, especially white lilacs, symbolizes innocence. since lilacs such versatile and ever-present flowers, it’s no surprise they symbol many things such as: reminders an old flame. in victorian times, widows often wore lilacs. lilacs often first flowers bloom temperatures rise and only last couple weeks, so lilacs often symbolize spring. in new hampshire, lilacs said represent “hearty character” new hampshire residents.",,Syringa
Lilly,"lily flower, in all its various forms, commonly considered mean: royalty and regal bearing motherhood and fertility purity and beauty youth passion and drive renewal and rebirth both greeks and romans held lily in very high regard, including in dozens their religious myths and breeding plants extensively. alchemists considered lunar plant with feminine qualities, while lily in high demand in china for weddings because its name sounds like start phrase wishing couple happy union for century. chinese friends and family members also give flower people who have experienced recent loss because believed help relieve heartache. don’t forget about enduring sign european royalty known as fleur de lis. now commonly found on silverware and wallpaper, stylized floral design symbolizes regal bearing and was loosely based on member lily family.",,
Lisianthus,"lisianthus plenty different meanings explore, such as lisianthus requires specific conditions first germinate, but then grows into hardy plant blooms profusely. means symbolizes rising above your surroundings and being grateful for everything in your life. it’s also wedding flower due its link with devotion and long-lasting bonds. finally, you also explain you’re traditionalist or show off your charisma with colorful and fun plant.","few flowers look as elegant as lisianthus used make boutonnieres and corsages. try bouquet blooms for thanking friend instead sending usual card, or keep few around raise your spirits.",Eustoma
Lotus,"lotus delicate flower with many layered petals arrayed around central core. few different plants from separate families all make up category, but they all have similar meanings comes symbolism. plants also look alike and share other characteristics like medicinal and edible value. in general, all lotus flowers exude beauty and grace. most varieties grow in water ponds and creeks, lending them an otherworldly quality makes them mystical enough for religious ceremonies. in victorian flower language, lotus represented eloquence.",,Nelumbo
Magnolia,"magnolia meanings depend on color flower and immediate culture person giving and receiving flowers. usually, magnolias given as presents from men women as if men saying, “you worthy beautiful magnolia.” magnolia often symbolizes yin, or feminine side life. white magnolias symbolize purity and dignity. seem be as many symbol interpretations about magnolias as people who love magnolias: in victorian times, sending flowers was discreet way lovers sending messages each other. magnolias symbolized dignity and nobility. in ancient china, magnolias were thought be perfect symbols womanly beauty and gentleness. in american south, white magnolias commonly seen in bridal bouquets because flowers thought reflect and emphasize bride’s purity and nobility.",,Magnolia
Marigold,"aside from being an important part any organic garden as pest deterrent, marigold loftier meanings like: aside from being offered as sacrifice gods from christian, aztec, buddhist, hindu, and pagan religions, little flower strong ties sun and its power resurrect. all types marigold offer same basic meanings because they all share same bright yellow, red, or orange color. victorian flower language experts considered symbol despair and grief, which shared with mexican cultural conception linking remembrance dead during dia de muertos. victorians also linked with cruel treatment towards loved one. modern meanings focus on sunny color and beauty instead, giving flower meaning optimism and success instead. marigolds were carried as love charms or spells in middle ages by both genders who wanted attract someone new.",grab pot or vase marigolds for:,Tagetes
Morning Glory,ipomoea comes from latin prefix ip meaning worm and homolas which means like. so beautiful flower was name after it’s growth habit which worm like.,,
Myrtle,myrtle flower meaning similar across culture cultures and across centuries. typically means:,"myrtle flowers appropriate for weddings, communions and christenings as they symbol for both fidelity and love and for chastity. added other flowers they be used for nearly any occasion wish recipient luck and prosperity.",Myrtus
Narcissus,"since both narcissus and daffodils technically same flower, their meanings overlap as well. these flowers usually considered symbol of: prosperity and wealth, especially in future march birthdays, as birth flower month narcissus does come with few negative symbols due association with narcissism. aside from signaling person little too self-obsessed, flower ideal for reminding someone always chance for things improve in future. narcissus means rebirth and renewal because it’s one earliest bulbs sprout. if you know someone first arrive at every event, you celebrate their punctuality with flower. victorians considered an egoist’s flower, while chinese use symbolize future prosperity and wealth.",there’s flower for every occasion. pick few daffodils or narcissus for events like:,
Orchid,"orchid been held in high regard since ancient times. symbolizes ancient greeks thought orchids were symbol virility. in fact, they were so convinced connection between orchids and fertility they believe orchids with large tuberous roots symbolized male child, while orchids with small tubers symbolized female child. aztecs reportedly mixed vanilla orchid with chocolate create tasty elixir was thought promote power and strength. although victorians didn’t use orchids as magical elixirs, they did collect and display them as sign luxury and means exhibit their refined taste.",,
Peony,"peony mainly known for representing ideas and values like: honor, especially for people who bringing honor their entire family through success peony most important in chinese culture. stunning flower an official emblem china, and plays big role in many holidays and religious traditions. it’s flower with longest continual use in eastern culture, and it’s tied in deeply with royalty and honor in those societies. chinese name for peony even translates “most beautiful”. oddly enough, somewhat an opposite meaning western individuals. greek myth says nymphs used hide their naked forms in peonies shield them from prying eyes. led association peonies with shamefulness and bashfulness during victorian era. was considered downright unlucky dig up shrub peony during middle ages due associations with less than kind fairies.",,Paeonia
Periwinkle,"periwinkle was potent religious symbol tied virgin mary in middle ages, so it’s not uncommon see little purple blossom peeking out stained glass window. victorian flower language users assigned meaning beautifully blossoming friendship. also means sharing recollection pleasant memory from past. in ukraine, it’s tied folklore about love lasts through eternity. it’s given as gift newlyweds wish them long marriage, but it’s even used around candles in hopes they’ll last longer.",,Vinca
Petunia,"meaning petunias be contradictory, leading some confusion – but remember meaning any flower depends on circumstances and relationship between giver and recipient. petunia flower meaning also affected by color flowers. some commonly accepted meanings for petunia flowers include: petunia flower symbolizes anger and resentment especially they presented by someone with whom you have recently heated disagreement. they also symbolize your desire spend time with someone because you find their company soothing and peaceful. according some sources, petunias also symbol not losing hope.","potted petunias appropriate for housewarmings or as hostess gifts. they often presented at mother’s day or other spring celebrations. they appropriate for promotions, graduations and other achievements, and make an excellent gift for gardeners as plants will produce abundant flowers from spring until frost.",Petunia
Plumeria,"plumeria flower rich history includes wide variety meanings, including: plumeria flower symbolizes different things in different cultures, although all uplifting meanings.",,
Poppy,"for many cultures, poppy symbol of:","since flowers large, cup-shaped, and colorful, poppy bouquets and sprays look impressive. give gift poppy for occasions like: funerals and memorial services, especially for soldiers pass away while serving or veterans",Papaver
Protea,"protea flower means depends on circumstances and relationship between giver and receiver, but some commonly agreed upon meanings for protea flower. protea flower symbolizes change and transformation across cultures. south africa: king protea (","some varieties protea flowers make delightful backdrop for other more showy flowers, while some take center stage as cut flower. they be used in bridal bouquets or wedding décor, at special celebrations, and for birthdays and other special events. protea flower’s message varies according setting, but one thing for sure, these striking flowers aren’t likely be forgotten. make lasting impression, try adding protea flowers floral displays and arrangements or send them special someone on your list.",
Ranunculus,"while many flowers have multiple meanings, ranunculus flower does not. means: ranunculus flower appears symbolize charm and attractiveness across cultures and generations. in victorian language flowers, ranunculus flower tells lady your think she charming and attractive.",,
Rose,"rose many meanings which vary depending on its color. however any rose be commonly seen as symbol of: rose often associated with numerology. in art renaissance period, rose with eight petals was message rebirth and renewal. in alchemical texts and art, rose with seven petals was symbol inclusion, universal understanding and order. association between numerology and rose also seen in freemasonry where each three roses symbolic guiding principle – love, life and light. in mythology rose associated with aphrodite greek goddess love who was often depicted adorned with roses around her head, feet and or neck. also said rose bush grew within pool blood spilled from aphrodite’s slain lover adonis. in christian mythology, rose bush was also said have grown at site christ’s death. in tarot rose considered symbol balance. expresses promise, new beginnings, and hope. its thorns represent defense, physicality, loss, thoughtlessness. in major arcana rose appears on magician, strength, death and fool cards. all these cards hold strong meanings balance and equilibrium. in classical era, rose was sacred number goddesses including isis. ancient greeks and romans also identified rose with goddesses love, aphrodite and venus respectively. in rome wild rose be placed on door room where secret or confidential matters were discussed. phrase sub rosa , or “under rose”, means keep secret and derived from ancient roman practice. christians in medieval times identified five petals rose with five wounds christ. rose later became associated with virgin mary and was eventually adopted as symbol blood christian martyrs. bouquet red roses used as gift on valentine’s day which day celebrating christian saint valentinus. in more modern times in 1986 was named floral emblem united states, and provincial flower alberta, canada. state flower 4 us states including: iowa, north dakota, georgia, and new york.",,Rosa
Sampaguita,,"sampaquita flowers appropriate for weddings and other religious ceremonies, but also be included in floral bouquets presented mothers, grandmothers and close female friends express love and dedication. bouquet sampaquita flowers in bedroom or dining area sets mood for love and romance.",
Snapdragon,"snapdragons possess two meanings. similar mythical creature they resemble, revered in some cultures and feared in others: snapdragon means grace and, due its growth in rocky areas, strength. however, also symbolize deviousness. people have loved snapdragons since before days roman empire. snapdragons have become part human mythology with complex symbolism. since snapdragon symbol for both deception and graciousness, sometimes snapdragons used as charm against falsehood. in victorian times, messages from lovers were secretly sent by flowers. snapdragon with flower known for truth-telling, such as hyacinth, meant giver sorry for making mistake. snapdragons also symbolize grace under pressure or inner strength in trying circumstances.",,Antirrhinum
Snowdrop,snowdrop flower several meanings depending on context. most common meanings are: snowdrop flower enjoyed rich and varied history includes several legends about how flower came be.,"snowdrops appropriate either as an expression sympathy or as an expression celebration. presented wedding party, floral display with snowdrops speaks optimism and hope. they symbolize sympathy given on solemn occasion such as after death, loss or misfortune.",
Star Of Bethlehem,"star bethlehem flower associated with birth christ and symbolizes traits jesus. star bethlehem flower steeped in christian symbolism, from its supposed biblical reference christian legend gave its name. often used in floral bouquets and arrangements for christian ceremonies, such as christenings, baptisms and christian marriages or funeral services. but used in secular weddings and celebrations too.",star bethlehem flower appropriate in nearly any floral arrangement from weddings and christenings birthdays and anniversaries.,Ornithogalum
Stargazer,,"aside from 30th anniversary, you should also invest in bunch stargazers your family home needs breath fresh air due pessimistic atmosphere. keep fresh vase flowers on your desk at work stay motivated working towards your future. finally, consider using bloom celebrate graduation high school or college student.",
Statice,"meaning statice flower depends on occasion or event, but some commonly accepted meanings for statice. statice symbolizes both fond memories and sympathy and be used either in memorial wreaths and bouquets or in floral arrangements at reunions or meetings old friends. they also symbolize success making them suitable for wide variety celebrations, too. because flowers rarely used alone, meaning other flowers in floral arrangement should also be taken into consideration.","statice versatile flower appropriate for nearly any occasion, particularly used as filler in mixed floral arrangements. these flowers work well for reunions, get-togethers among old friends or for birthdays and other celebrations. they common in funeral flowers or for memorial services, but they don’t need be part solemn event, as they symbolize success as well as remembrance. tucked into floral arrangements add delicate color, these flowers right at home in office bouquets or for special events like graduations and other achievements.",Limonium
Stock Flower,"stock flower attracts attention for both its distinctive blossoms and delicate and wonderful scent releases. aside from its physical characteristics, plant popular as symbol large cup shaped blooms packed onto tall spire draw you in at first, but it’s spicy cinnamon and clove scent keeps you coming back for more. outgoing stock flower means enjoying life whenever you can, even it’s not exactly you planned for or wanted. it’s perfect for celebrating anything brings you happiness, from birth new family member housewarming party. these flowers used for weddings as well because it’s beautiful way for husband tell wife he will always consider her most beautiful woman in world. pair with an overall meaning happiness and you see why so much potential. it’s not usually considered birth flower, but some people use as symbol for taurus.",,
Tulip,"while it’s not fanciest flower in garden, beauty and grace simple tulips means flower become symbol for meanings like: perfect, enduring love between partners or family members undying passionate love, whether passion spurned or returned tulip classic flower love, although was considered more symbol for charity by victorians. turkish people who originally bred flower considered symbol paradise on earth, making part many religious and secular poems and art pieces. while ottoman empire planted bulbs remind them heaven and eternal life, dutch popularized flower considered reminder how brief life be instead. link love and passion developed primarily in 20th and 21st centuries, but doesn’t detract from strength symbolism behind flower.",,Tulipa
Wisteria Flower,"wisteria been growing in eastern us and asia for centuries now, so accumulated plenty contrasting and complementing meanings. some people believe wisteria symbolizes good luck, especially for start business or new marriage flower native asia, so naturally many its meanings come from chinese and japanese culture. in china, flower commonly featured in art and plays involving marriage. many people exchange flowers as good luck charm planning wedding. since vines and trees bloom in spring and early summer, it’s potent symbol new life. why modern florists recommend for both baby showers and business openings. well-trimmed wisteria bonsai offers perfection in tiny package, tapping into meaning devotion.","celebrate new family member by sending in bundle blossoms, or give blue wisteria as “something blue” for wedding tradition.",
Zinnia,"? zinnia flower several meanings including thoughts friends, endurance, daily remembrance, goodness and lasting affection. zinnia one tough flower so symbolism evolved mean endurance in all it’s many forms. includes spontaneous endurance: from youth old age zinnia endures and continues bloom. also believed mean joyous endurance, happy bloom in broiling heat summer. zinnia also endures through any trials and tribulations (unforgiving heat, drought, bugs) and continues put forth beautiful flowers in many shades red, orange, apricot, yellow, white, lilac and even lime green.",,Zinnia
